ccs_code,cpt_code,ccs_label
1,61284,Incision and excision of CNS
1,61285,Incision and excision of CNS
1,61286,Incision and excision of CNS
1,61287,Incision and excision of CNS
1,61288,Incision and excision of CNS
1,61289,Incision and excision of CNS
1,61290,Incision and excision of CNS
1,61291,Incision and excision of CNS
1,61292,Incision and excision of CNS
1,61293,Incision and excision of CNS
1,61294,Incision and excision of CNS
1,61295,Incision and excision of CNS
1,61296,Incision and excision of CNS
1,61297,Incision and excision of CNS
1,61298,Incision and excision of CNS
1,61299,Incision and excision of CNS
1,61300,Incision and excision of CNS
1,61301,Incision and excision of CNS
1,61302,Incision and excision of CNS
1,61303,Incision and excision of CNS
1,61304,Incision and excision of CNS
1,61305,Incision and excision of CNS
1,61306,Incision and excision of CNS
1,61307,Incision and excision of CNS
1,61308,Incision and excision of CNS
1,61309,Incision and excision of CNS
1,61310,Incision and excision of CNS
1,61311,Incision and excision of CNS
1,61312,Incision and excision of CNS
1,61313,Incision and excision of CNS
1,61314,Incision and excision of CNS
1,61315,Incision and excision of CNS
1,61320,Incision and excision of CNS
1,61321,Incision and excision of CNS
1,61322,Incision and excision of CNS
1,61323,Incision and excision of CNS
1,61340,Incision and excision of CNS
1,61345,Incision and excision of CNS
1,61346,Incision and excision of CNS
1,61347,Incision and excision of CNS
1,61348,Incision and excision of CNS
1,61349,Incision and excision of CNS
1,61350,Incision and excision of CNS
1,61351,Incision and excision of CNS
1,61352,Incision and excision of CNS
1,61353,Incision and excision of CNS
1,61354,Incision and excision of CNS
1,61355,Incision and excision of CNS
1,61356,Incision and excision of CNS
1,61357,Incision and excision of CNS
1,61358,Incision and excision of CNS
1,61359,Incision and excision of CNS
1,61360,Incision and excision of CNS
1,61361,Incision and excision of CNS
1,61362,Incision and excision of CNS
1,61363,Incision and excision of CNS
1,61364,Incision and excision of CNS
1,61365,Incision and excision of CNS
1,61366,Incision and excision of CNS
1,61367,Incision and excision of CNS
1,61368,Incision and excision of CNS
1,61369,Incision and excision of CNS
1,61370,Incision and excision of CNS
1,61371,Incision and excision of CNS
1,61372,Incision and excision of CNS
1,61373,Incision and excision of CNS
1,61374,Incision and excision of CNS
1,61375,Incision and excision of CNS
1,61376,Incision and excision of CNS
1,61377,Incision and excision of CNS
1,61378,Incision and excision of CNS
1,61379,Incision and excision of CNS
1,61380,Incision and excision of CNS
1,61381,Incision and excision of CNS
1,61382,Incision and excision of CNS
1,61383,Incision and excision of CNS
1,61384,Incision and excision of CNS
1,61385,Incision and excision of CNS
1,61386,Incision and excision of CNS
1,61387,Incision and excision of CNS
1,61388,Incision and excision of CNS
1,61389,Incision and excision of CNS
1,61390,Incision and excision of CNS
1,61391,Incision and excision of CNS
1,61392,Incision and excision of CNS
1,61393,Incision and excision of CNS
1,61394,Incision and excision of CNS
1,61395,Incision and excision of CNS
1,61396,Incision and excision of CNS
1,61397,Incision and excision of CNS
1,61398,Incision and excision of CNS
1,61399,Incision and excision of CNS
1,61400,Incision and excision of CNS
1,61401,Incision and excision of CNS
1,61402,Incision and excision of CNS
1,61403,Incision and excision of CNS
1,61404,Incision and excision of CNS
1,61405,Incision and excision of CNS
1,61406,Incision and excision of CNS
1,61407,Incision and excision of CNS
1,61408,Incision and excision of CNS
1,61409,Incision and excision of CNS
1,61410,Incision and excision of CNS
1,61411,Incision and excision of CNS
1,61412,Incision and excision of CNS
1,61413,Incision and excision of CNS
1,61414,Incision and excision of CNS
1,61415,Incision and excision of CNS
1,61416,Incision and excision of CNS
1,61417,Incision and excision of CNS
1,61418,Incision and excision of CNS
1,61419,Incision and excision of CNS
1,61420,Incision and excision of CNS
1,61421,Incision and excision of CNS
1,61422,Incision and excision of CNS
1,61423,Incision and excision of CNS
1,61424,Incision and excision of CNS
1,61425,Incision and excision of CNS
1,61426,Incision and excision of CNS
1,61427,Incision and excision of CNS
1,61428,Incision and excision of CNS
1,61429,Incision and excision of CNS
1,61430,Incision and excision of CNS
1,61431,Incision and excision of CNS
1,61432,Incision and excision of CNS
1,61433,Incision and excision of CNS
1,61434,Incision and excision of CNS
1,61435,Incision and excision of CNS
1,61436,Incision and excision of CNS
1,61437,Incision and excision of CNS
1,61438,Incision and excision of CNS
1,61439,Incision and excision of CNS
1,61440,Incision and excision of CNS
1,61470,Incision and excision of CNS
1,61471,Incision and excision of CNS
1,61472,Incision and excision of CNS
1,61473,Incision and excision of CNS
1,61474,Incision and excision of CNS
1,61475,Incision and excision of CNS
1,61476,Incision and excision of CNS
1,61477,Incision and excision of CNS
1,61478,Incision and excision of CNS
1,61479,Incision and excision of CNS
1,61480,Incision and excision of CNS
1,61481,Incision and excision of CNS
1,61482,Incision and excision of CNS
1,61483,Incision and excision of CNS
1,61484,Incision and excision of CNS
1,61485,Incision and excision of CNS
1,61486,Incision and excision of CNS
1,61487,Incision and excision of CNS
1,61488,Incision and excision of CNS
1,61489,Incision and excision of CNS
1,61490,Incision and excision of CNS
1,61510,Incision and excision of CNS
1,61511,Incision and excision of CNS
1,61512,Incision and excision of CNS
1,61513,Incision and excision of CNS
1,61514,Incision and excision of CNS
1,61515,Incision and excision of CNS
1,61516,Incision and excision of CNS
1,61518,Incision and excision of CNS
1,61519,Incision and excision of CNS
1,61520,Incision and excision of CNS
1,61521,Incision and excision of CNS
1,61522,Incision and excision of CNS
1,61523,Incision and excision of CNS
1,61524,Incision and excision of CNS
1,61525,Incision and excision of CNS
1,61526,Incision and excision of CNS
1,61527,Incision and excision of CNS
1,61528,Incision and excision of CNS
1,61529,Incision and excision of CNS
1,61530,Incision and excision of CNS
1,61534,Incision and excision of CNS
1,61535,Incision and excision of CNS
1,61536,Incision and excision of CNS
1,61537,Incision and excision of CNS
1,61538,Incision and excision of CNS
1,61539,Incision and excision of CNS
1,61540,Incision and excision of CNS
1,61541,Incision and excision of CNS
1,61542,Incision and excision of CNS
1,61543,Incision and excision of CNS
1,61544,Incision and excision of CNS
1,61545,Incision and excision of CNS
1,61556,Incision and excision of CNS
1,61557,Incision and excision of CNS
1,61570,Incision and excision of CNS
1,61571,Incision and excision of CNS
1,61572,Incision and excision of CNS
1,61573,Incision and excision of CNS
1,61574,Incision and excision of CNS
1,61575,Incision and excision of CNS
1,61576,Incision and excision of CNS
1,61582,Incision and excision of CNS
1,61583,Incision and excision of CNS
1,61584,Incision and excision of CNS
1,61585,Incision and excision of CNS
1,61586,Incision and excision of CNS
1,61587,Incision and excision of CNS
1,61588,Incision and excision of CNS
1,61589,Incision and excision of CNS
1,61590,Incision and excision of CNS
1,61591,Incision and excision of CNS
1,61592,Incision and excision of CNS
1,61593,Incision and excision of CNS
1,61594,Incision and excision of CNS
1,61595,Incision and excision of CNS
1,61596,Incision and excision of CNS
1,61598,Incision and excision of CNS
1,61599,Incision and excision of CNS
1,61600,Incision and excision of CNS
1,61601,Incision and excision of CNS
1,61602,Incision and excision of CNS
1,61603,Incision and excision of CNS
1,61604,Incision and excision of CNS
1,61605,Incision and excision of CNS
1,61606,Incision and excision of CNS
1,61607,Incision and excision of CNS
1,61608,Incision and excision of CNS
1,61615,Incision and excision of CNS
1,61616,Incision and excision of CNS
1,61712,Incision and excision of CNS
1,61713,Incision and excision of CNS
1,61714,Incision and excision of CNS
1,61715,Incision and excision of CNS
1,61716,Incision and excision of CNS
1,61717,Incision and excision of CNS
1,61718,Incision and excision of CNS
1,61719,Incision and excision of CNS
1,61720,Incision and excision of CNS
1,61721,Incision and excision of CNS
1,61722,Incision and excision of CNS
1,61723,Incision and excision of CNS
1,61724,Incision and excision of CNS
1,61725,Incision and excision of CNS
1,61726,Incision and excision of CNS
1,61727,Incision and excision of CNS
1,61728,Incision and excision of CNS
1,61729,Incision and excision of CNS
1,61730,Incision and excision of CNS
1,61731,Incision and excision of CNS
1,61732,Incision and excision of CNS
1,61733,Incision and excision of CNS
1,61734,Incision and excision of CNS
1,61735,Incision and excision of CNS
1,61880,Incision and excision of CNS
1,62161,Incision and excision of CNS
1,62162,Incision and excision of CNS
1,62163,Incision and excision of CNS
1,62164,Incision and excision of CNS
2,0169T,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,61107,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,61210,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62160,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62180,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62181,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62182,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62183,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62184,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62185,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62186,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62187,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62188,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62189,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62190,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62191,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62192,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62193,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62194,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62195,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62196,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62197,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62198,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62199,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62200,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62201,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62202,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62203,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62204,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62205,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62206,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62207,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62208,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62209,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62210,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62211,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62212,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62213,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62214,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62215,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62216,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62217,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62218,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62219,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62220,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62221,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62222,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62223,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62224,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62225,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62226,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62227,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62228,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62229,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62230,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62231,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62232,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62233,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62234,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62235,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62236,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62237,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62238,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62239,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62240,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62241,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62242,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62243,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62244,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62245,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62246,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62247,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62248,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62249,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62250,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62251,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62252,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62253,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62254,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62255,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62256,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62257,"Insertion, replacement, or removal of extracranial ventricular shunt"
2,62258,"Insertion, replacement, or removal of extracranial ventricular shunt"
3,0202T,"Laminectomy, excision intervertebral disc"
3,0274T,"Laminectomy, excision intervertebral disc"
3,0275T,"Laminectomy, excision intervertebral disc"
3,22856,"Laminectomy, excision intervertebral disc"
3,22858,"Laminectomy, excision intervertebral disc"
3,22861,"Laminectomy, excision intervertebral disc"
3,22864,"Laminectomy, excision intervertebral disc"
3,61343,"Laminectomy, excision intervertebral disc"
3,62287,"Laminectomy, excision intervertebral disc"
3,62351,"Laminectomy, excision intervertebral disc"
3,62380,"Laminectomy, excision intervertebral disc"
3,62381,"Laminectomy, excision intervertebral disc"
3,62382,"Laminectomy, excision intervertebral disc"
3,62383,"Laminectomy, excision intervertebral disc"
3,62384,"Laminectomy, excision intervertebral disc"
3,62385,"Laminectomy, excision intervertebral disc"
3,62386,"Laminectomy, excision intervertebral disc"
3,62387,"Laminectomy, excision intervertebral disc"
3,62388,"Laminectomy, excision intervertebral disc"
3,62389,"Laminectomy, excision intervertebral disc"
3,62390,"Laminectomy, excision intervertebral disc"
3,62391,"Laminectomy, excision intervertebral disc"
3,62392,"Laminectomy, excision intervertebral disc"
3,62393,"Laminectomy, excision intervertebral disc"
3,62394,"Laminectomy, excision intervertebral disc"
3,62395,"Laminectomy, excision intervertebral disc"
3,62396,"Laminectomy, excision intervertebral disc"
3,62397,"Laminectomy, excision intervertebral disc"
3,62398,"Laminectomy, excision intervertebral disc"
3,62399,"Laminectomy, excision intervertebral disc"
3,62400,"Laminectomy, excision intervertebral disc"
3,62401,"Laminectomy, excision intervertebral disc"
3,62402,"Laminectomy, excision intervertebral disc"
3,62403,"Laminectomy, excision intervertebral disc"
3,62404,"Laminectomy, excision intervertebral disc"
3,62405,"Laminectomy, excision intervertebral disc"
3,62406,"Laminectomy, excision intervertebral disc"
3,62407,"Laminectomy, excision intervertebral disc"
3,62408,"Laminectomy, excision intervertebral disc"
3,62409,"Laminectomy, excision intervertebral disc"
3,62410,"Laminectomy, excision intervertebral disc"
3,62411,"Laminectomy, excision intervertebral disc"
3,62412,"Laminectomy, excision intervertebral disc"
3,62413,"Laminectomy, excision intervertebral disc"
3,62414,"Laminectomy, excision intervertebral disc"
3,62415,"Laminectomy, excision intervertebral disc"
3,62416,"Laminectomy, excision intervertebral disc"
3,62417,"Laminectomy, excision intervertebral disc"
3,62418,"Laminectomy, excision intervertebral disc"
3,62419,"Laminectomy, excision intervertebral disc"
3,62420,"Laminectomy, excision intervertebral disc"
3,62421,"Laminectomy, excision intervertebral disc"
3,62422,"Laminectomy, excision intervertebral disc"
3,62423,"Laminectomy, excision intervertebral disc"
3,62424,"Laminectomy, excision intervertebral disc"
3,62425,"Laminectomy, excision intervertebral disc"
3,62426,"Laminectomy, excision intervertebral disc"
3,62427,"Laminectomy, excision intervertebral disc"
3,62428,"Laminectomy, excision intervertebral disc"
3,62429,"Laminectomy, excision intervertebral disc"
3,62430,"Laminectomy, excision intervertebral disc"
3,62431,"Laminectomy, excision intervertebral disc"
3,62432,"Laminectomy, excision intervertebral disc"
3,62433,"Laminectomy, excision intervertebral disc"
3,62434,"Laminectomy, excision intervertebral disc"
3,62435,"Laminectomy, excision intervertebral disc"
3,62436,"Laminectomy, excision intervertebral disc"
3,62437,"Laminectomy, excision intervertebral disc"
3,62438,"Laminectomy, excision intervertebral disc"
3,62439,"Laminectomy, excision intervertebral disc"
3,62440,"Laminectomy, excision intervertebral disc"
3,62441,"Laminectomy, excision intervertebral disc"
3,62442,"Laminectomy, excision intervertebral disc"
3,62443,"Laminectomy, excision intervertebral disc"
3,62444,"Laminectomy, excision intervertebral disc"
3,62445,"Laminectomy, excision intervertebral disc"
3,62446,"Laminectomy, excision intervertebral disc"
3,62447,"Laminectomy, excision intervertebral disc"
3,62448,"Laminectomy, excision intervertebral disc"
3,62449,"Laminectomy, excision intervertebral disc"
3,62450,"Laminectomy, excision intervertebral disc"
3,62451,"Laminectomy, excision intervertebral disc"
3,62452,"Laminectomy, excision intervertebral disc"
3,62453,"Laminectomy, excision intervertebral disc"
3,62454,"Laminectomy, excision intervertebral disc"
3,62455,"Laminectomy, excision intervertebral disc"
3,62456,"Laminectomy, excision intervertebral disc"
3,62457,"Laminectomy, excision intervertebral disc"
3,62458,"Laminectomy, excision intervertebral disc"
3,62459,"Laminectomy, excision intervertebral disc"
3,62460,"Laminectomy, excision intervertebral disc"
3,62461,"Laminectomy, excision intervertebral disc"
3,62462,"Laminectomy, excision intervertebral disc"
3,62463,"Laminectomy, excision intervertebral disc"
3,62464,"Laminectomy, excision intervertebral disc"
3,62465,"Laminectomy, excision intervertebral disc"
3,62466,"Laminectomy, excision intervertebral disc"
3,62467,"Laminectomy, excision intervertebral disc"
3,62468,"Laminectomy, excision intervertebral disc"
3,62469,"Laminectomy, excision intervertebral disc"
3,62470,"Laminectomy, excision intervertebral disc"
3,62471,"Laminectomy, excision intervertebral disc"
3,62472,"Laminectomy, excision intervertebral disc"
3,62473,"Laminectomy, excision intervertebral disc"
3,62474,"Laminectomy, excision intervertebral disc"
3,62475,"Laminectomy, excision intervertebral disc"
3,62476,"Laminectomy, excision intervertebral disc"
3,62477,"Laminectomy, excision intervertebral disc"
3,62478,"Laminectomy, excision intervertebral disc"
3,62479,"Laminectomy, excision intervertebral disc"
3,62480,"Laminectomy, excision intervertebral disc"
3,62481,"Laminectomy, excision intervertebral disc"
3,62482,"Laminectomy, excision intervertebral disc"
3,62483,"Laminectomy, excision intervertebral disc"
3,62484,"Laminectomy, excision intervertebral disc"
3,62485,"Laminectomy, excision intervertebral disc"
3,62486,"Laminectomy, excision intervertebral disc"
3,62487,"Laminectomy, excision intervertebral disc"
3,62488,"Laminectomy, excision intervertebral disc"
3,62489,"Laminectomy, excision intervertebral disc"
3,62490,"Laminectomy, excision intervertebral disc"
3,62491,"Laminectomy, excision intervertebral disc"
3,62492,"Laminectomy, excision intervertebral disc"
3,62493,"Laminectomy, excision intervertebral disc"
3,62494,"Laminectomy, excision intervertebral disc"
3,62495,"Laminectomy, excision intervertebral disc"
3,62496,"Laminectomy, excision intervertebral disc"
3,62497,"Laminectomy, excision intervertebral disc"
3,62498,"Laminectomy, excision intervertebral disc"
3,62499,"Laminectomy, excision intervertebral disc"
3,62500,"Laminectomy, excision intervertebral disc"
3,62501,"Laminectomy, excision intervertebral disc"
3,62502,"Laminectomy, excision intervertebral disc"
3,62503,"Laminectomy, excision intervertebral disc"
3,62504,"Laminectomy, excision intervertebral disc"
3,62505,"Laminectomy, excision intervertebral disc"
3,62506,"Laminectomy, excision intervertebral disc"
3,62507,"Laminectomy, excision intervertebral disc"
3,62508,"Laminectomy, excision intervertebral disc"
3,62509,"Laminectomy, excision intervertebral disc"
3,62510,"Laminectomy, excision intervertebral disc"
3,62511,"Laminectomy, excision intervertebral disc"
3,62512,"Laminectomy, excision intervertebral disc"
3,62513,"Laminectomy, excision intervertebral disc"
3,62514,"Laminectomy, excision intervertebral disc"
3,62515,"Laminectomy, excision intervertebral disc"
3,62516,"Laminectomy, excision intervertebral disc"
3,62517,"Laminectomy, excision intervertebral disc"
3,62518,"Laminectomy, excision intervertebral disc"
3,62519,"Laminectomy, excision intervertebral disc"
3,62520,"Laminectomy, excision intervertebral disc"
3,62521,"Laminectomy, excision intervertebral disc"
3,62522,"Laminectomy, excision intervertebral disc"
3,62523,"Laminectomy, excision intervertebral disc"
3,62524,"Laminectomy, excision intervertebral disc"
3,62525,"Laminectomy, excision intervertebral disc"
3,62526,"Laminectomy, excision intervertebral disc"
3,62527,"Laminectomy, excision intervertebral disc"
3,62528,"Laminectomy, excision intervertebral disc"
3,62529,"Laminectomy, excision intervertebral disc"
3,62530,"Laminectomy, excision intervertebral disc"
3,62531,"Laminectomy, excision intervertebral disc"
3,62532,"Laminectomy, excision intervertebral disc"
3,62533,"Laminectomy, excision intervertebral disc"
3,62534,"Laminectomy, excision intervertebral disc"
3,62535,"Laminectomy, excision intervertebral disc"
3,62536,"Laminectomy, excision intervertebral disc"
3,62537,"Laminectomy, excision intervertebral disc"
3,62538,"Laminectomy, excision intervertebral disc"
3,62539,"Laminectomy, excision intervertebral disc"
3,62540,"Laminectomy, excision intervertebral disc"
3,62541,"Laminectomy, excision intervertebral disc"
3,62542,"Laminectomy, excision intervertebral disc"
3,62543,"Laminectomy, excision intervertebral disc"
3,62544,"Laminectomy, excision intervertebral disc"
3,62545,"Laminectomy, excision intervertebral disc"
3,62546,"Laminectomy, excision intervertebral disc"
3,62547,"Laminectomy, excision intervertebral disc"
3,62548,"Laminectomy, excision intervertebral disc"
3,62549,"Laminectomy, excision intervertebral disc"
3,62550,"Laminectomy, excision intervertebral disc"
3,62551,"Laminectomy, excision intervertebral disc"
3,62552,"Laminectomy, excision intervertebral disc"
3,62553,"Laminectomy, excision intervertebral disc"
3,62554,"Laminectomy, excision intervertebral disc"
3,62555,"Laminectomy, excision intervertebral disc"
3,62556,"Laminectomy, excision intervertebral disc"
3,62557,"Laminectomy, excision intervertebral disc"
3,62558,"Laminectomy, excision intervertebral disc"
3,62559,"Laminectomy, excision intervertebral disc"
3,62560,"Laminectomy, excision intervertebral disc"
3,62561,"Laminectomy, excision intervertebral disc"
3,62562,"Laminectomy, excision intervertebral disc"
3,62563,"Laminectomy, excision intervertebral disc"
3,62564,"Laminectomy, excision intervertebral disc"
3,62565,"Laminectomy, excision intervertebral disc"
3,62566,"Laminectomy, excision intervertebral disc"
3,62567,"Laminectomy, excision intervertebral disc"
3,62568,"Laminectomy, excision intervertebral disc"
3,62569,"Laminectomy, excision intervertebral disc"
3,62570,"Laminectomy, excision intervertebral disc"
3,62571,"Laminectomy, excision intervertebral disc"
3,62572,"Laminectomy, excision intervertebral disc"
3,62573,"Laminectomy, excision intervertebral disc"
3,62574,"Laminectomy, excision intervertebral disc"
3,62575,"Laminectomy, excision intervertebral disc"
3,62576,"Laminectomy, excision intervertebral disc"
3,62577,"Laminectomy, excision intervertebral disc"
3,62578,"Laminectomy, excision intervertebral disc"
3,62579,"Laminectomy, excision intervertebral disc"
3,62580,"Laminectomy, excision intervertebral disc"
3,62581,"Laminectomy, excision intervertebral disc"
3,62582,"Laminectomy, excision intervertebral disc"
3,62583,"Laminectomy, excision intervertebral disc"
3,62584,"Laminectomy, excision intervertebral disc"
3,62585,"Laminectomy, excision intervertebral disc"
3,62586,"Laminectomy, excision intervertebral disc"
3,62587,"Laminectomy, excision intervertebral disc"
3,62588,"Laminectomy, excision intervertebral disc"
3,62589,"Laminectomy, excision intervertebral disc"
3,62590,"Laminectomy, excision intervertebral disc"
